,Date,uid,morning_phonecharge_duration,morning_phonecharge_frequency,morning_phonelock_duration,morning_phonelock_frequency,morning_dark_duration,afternoon_phonecharge_duration,afternoon_phonecharge_frequency,afternoon_phonelock_duration,afternoon_phonelock_frequency,afternoon_dark_duration,evening_phonecharge_duration,evening_phonecharge_frequency,evening_phonelock_duration,evening_phonelock_frequency,evening_dark_duration,night_phonecharge_duration,night_phonecharge_frequency,night_phonelock_duration,night_phonelock_frequency,night_dark_duration
0,2013-03-27,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5921.0,1.0,5815.0,1.0,0.0
1,2013-03-27,u00,16650.0,1.0,16368.0,1.0,19783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2013-03-28,u00,0.0,0.0,0.0,0.0,0.0,11208.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2013-03-29,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7074.0,1.0,4919.0,1.0,8510.0
4,2013-03-29,u00,13258.0,1.0,13226.0,1.0,14595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2013-03-30,u00,0.0,0.0,0.0,0.0,0.0,7804.0,1.0,4779.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2013-03-31,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28025.0,1.0,42324.0,3.0,0.0
7,2013-03-31,u00,0.0,0.0,0.0,0.0,0.0,8185.0,1.0,14018.0,2.0,5833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2013-04-01,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6130.0,1.0,0.0,0.0,27694.0
9,2013-04-03,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11243.0,2.0,6920.0,1.0,13036.0
10,2013-04-04,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857.0,1.0,0.0,0.0,4179.0,0.0,0.0,0.0,0.0,0.0
11,2013-04-06,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34150.0,1.0,41224.0,2.0,34915.0
12,2013-04-07,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31706.0,1.0,39322.0,2.0,41293.0
13,2013-04-08,u00,15798.0,1.0,15796.0,1.0,17974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2013-04-08,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7367.0,1.0,14733.0,2.0,17607.0,0.0,0.0,0.0,0.0,0.0
15,2013-04-09,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23470.0,1.0,23468.0,1.0,29311.0
16,2013-04-09,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10816.0,1.0,10784.0,1.0,10960.0,0.0,0.0,0.0,0.0,0.0
17,2013-04-10,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33635.0,2.0,20011.0,1.0,34500.0
18,2013-04-10,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4426.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2013-04-11,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13179.0,1.0,3862.0,1.0,4005.0,0.0,0.0,0.0,0.0,0.0
20,2013-04-12,u00,17844.0,1.0,17840.0,1.0,19494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2013-04-13,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12139.0,1.0,15366.0,2.0,24119.0,0.0,0.0,0.0,0.0,0.0
22,2013-04-14,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30175.0,1.0,33793.0,2.0,30659.0
23,2013-04-14,u00,0.0,0.0,0.0,0.0,0.0,5770.0,1.0,12260.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2013-04-14,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10815.0,1.0,20860.0,3.0,22352.0,0.0,0.0,0.0,0.0,0.0
25,2013-04-15,u00,15533.0,1.0,13415.0,1.0,15773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2013-04-16,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20975.0,1.0,31707.0,3.0,28099.0
27,2013-04-17,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18869.0,1.0,15673.0,1.0,19629.0
28,2013-04-17,u00,11779.0,1.0,11707.0,1.0,13834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2013-04-19,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16598.0,3.0,0.0,0.0,15705.0
30,2013-04-19,u00,15963.0,1.0,15353.0,1.0,18351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2013-04-19,u00,0.0,0.0,0.0,0.0,0.0,4830.0,1.0,9279.0,2.0,5413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2013-04-19,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4169.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2013-04-20,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35402.0,1.0,34732.0,1.0,32817.0
34,2013-04-20,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9513.0,2.0,4004.0,1.0,8855.0,0.0,0.0,0.0,0.0,0.0
35,2013-04-21,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28872.0,1.0,35592.0,2.0,36294.0
36,2013-04-21,u00,0.0,0.0,0.0,0.0,0.0,25620.0,1.0,8265.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2013-04-22,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16353.0,1.0,13324.0,2.0,35447.0
38,2013-04-23,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32965.0,2.0,36631.0,3.0,35718.0
39,2013-04-23,u00,0.0,0.0,0.0,0.0,0.0,9605.0,1.0,9518.0,2.0,13358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2013-04-24,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10014.0,1.0,16779.0,2.0,10084.0,0.0,0.0,0.0,0.0,0.0
41,2013-04-25,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17960.0,2.0,0.0,0.0,34760.0
42,2013-04-25,u00,13239.0,1.0,16855.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2013-04-25,u00,0.0,0.0,0.0,0.0,0.0,6549.0,1.0,5308.0,1.0,4119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2013-04-25,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10970.0,1.0,10949.0,1.0,16805.0,0.0,0.0,0.0,0.0,0.0
45,2013-04-26,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9878.0,1.0,0.0,0.0,11226.0
46,2013-04-26,u00,16849.0,1.0,16825.0,1.0,23113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2013-04-27,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35583.0,1.0,31695.0,1.0,0.0
48,2013-04-29,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8722.0,1.0,8361.0,1.0,11864.0
49,2013-04-29,u00,17331.0,2.0,10653.0,1.0,16684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2013-04-30,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35882.0,1.0,35851.0,1.0,4163.0
51,2013-05-01,u00,11197.0,1.0,15653.0,2.0,15908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2013-05-02,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22972.0,1.0,21892.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2013-05-05,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25243.0,1.0,22682.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2013-05-06,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21015.0,1.0,19931.0,1.0,35708.0,0.0,0.0,0.0,0.0,0.0
55,2013-05-08,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197.0,1.0,16271.0,1.0,5269.0
56,2013-05-09,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16599.0,1.0,16569.0,1.0,18465.0
57,2013-05-10,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26128.0,1.0,40702.0,2.0,0.0
58,2013-05-12,u00,0.0,0.0,0.0,0.0,0.0,7402.0,1.0,12033.0,2.0,11445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2013-05-14,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35074.0,1.0,35043.0,1.0,39152.0
60,2013-05-16,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31943.0,1.0,31912.0,1.0,0.0
61,2013-05-16,u00,10837.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2013-05-16,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7969.0,1.0,4868.0,1.0,4862.0,0.0,0.0,0.0,0.0,0.0
63,2013-05-25,u00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4497.0,1.0,7761.0,1.0,0.0
64,2013-05-26,u00,0.0,0.0,0.0,0.0,0.0,21310.0,1.0,21260.0,1.0,9181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
