,uid,date,app usage in morning,app usage in afternoon,app usage in evening,app usage in night
0,u00,2013-03-24,18,10,15,26
1,u00,2013-03-25,11,19,19,26
2,u00,2013-03-26,10,12,14,11
3,u00,2013-03-27,14,20,18,15
4,u00,2013-03-28,17,33,20,17
5,u00,2013-03-29,14,23,16,10
6,u00,2013-03-30,14,2,5,17
7,u00,2013-03-31,7,11,13,9
8,u00,2013-04-01,11,18,18,10
9,u00,2013-04-02,15,5,17,15
10,u00,2013-04-03,15,22,20,22
11,u00,2013-04-04,17,31,14,17
12,u00,2013-04-05,13,27,22,15
13,u00,2013-04-06,19,22,26,20
14,u00,2013-04-07,20,22,18,35
15,u00,2013-04-08,8,24,20,8
16,u00,2013-04-09,19,27,29,19
17,u00,2013-04-10,25,33,34,30
18,u00,2013-04-11,33,40,40,31
19,u00,2013-04-12,38,49,33,45
20,u00,2013-04-13,31,36,15,31
21,u00,2013-04-14,9,18,9,9
22,u00,2013-04-15,18,26,23,13
23,u00,2013-04-16,21,28,25,21
24,u00,2013-04-17,14,16,26,8
25,u00,2013-04-18,10,20,15,9
26,u00,2013-04-19,17,42,25,23
27,u00,2013-04-20,2,7,18,13
28,u00,2013-04-21,18,21,34,20
29,u00,2013-04-22,23,32,28,21
30,u00,2013-04-23,4,11,15,15
31,u00,2013-04-24,6,8,9,14
32,u00,2013-04-25,9,24,19,9
33,u00,2013-04-26,10,21,20,27
34,u00,2013-04-27,17,19,21,19
35,u00,2013-04-28,0,4,4,24
36,u00,2013-04-29,18,25,20,12
37,u00,2013-04-30,5,6,6,3
38,u00,2013-05-01,5,18,30,11
39,u00,2013-05-02,9,8,4,12
40,u00,2013-05-03,7,12,10,4
41,u00,2013-05-04,9,0,14,9
42,u00,2013-05-05,19,17,17,14
43,u00,2013-05-06,9,17,20,5
44,u00,2013-05-07,22,21,25,17
45,u00,2013-05-08,19,10,8,20
46,u00,2013-05-09,7,5,17,14
47,u00,2013-05-10,9,10,12,9
48,u00,2013-05-11,10,12,14,10
49,u00,2013-05-12,14,18,9,14
50,u00,2013-05-13,9,14,12,9
51,u00,2013-05-14,13,13,12,11
52,u00,2013-05-15,12,19,21,11
53,u00,2013-05-16,11,12,19,8
54,u00,2013-05-17,8,8,9,9
55,u00,2013-05-18,8,0,0,8
56,u00,2013-05-19,0,5,7,0
57,u00,2013-05-20,3,5,5,3
58,u00,2013-05-22,0,0,10,0
59,u00,2013-05-23,0,13,10,8
60,u00,2013-05-24,10,11,16,10
61,u00,2013-05-25,1,26,17,11
62,u00,2013-05-26,10,11,12,14
63,u00,2013-05-27,14,16,17,14
64,u00,2013-05-28,15,20,17,15
65,u00,2013-05-29,17,7,12,16
66,u00,2013-05-30,0,6,9,9
67,u00,2013-05-31,10,14,14,11
68,u00,2013-06-01,0,11,7,12
69,u00,2013-06-02,11,16,9,10
70,u00,2013-06-03,7,9,17,7
71,u00,2013-06-04,7,9,13,7
72,u00,2013-06-05,13,24,17,13
73,u00,2013-06-06,19,6,6,14
74,u00,2013-06-07,5,9,13,5
75,u00,2013-06-08,6,11,15,4
76,u00,2013-06-09,10,0,0,10
77,u00,2013-06-10,0,8,13,0
78,u00,2013-06-11,12,15,14,13
79,u00,2013-06-12,12,21,19,12
80,u00,2013-06-13,0,0,5,8
81,u00,2013-06-14,6,10,10,6
82,u00,2013-06-15,6,6,11,17
83,u00,2013-06-20,0,0,1,0
84,u01,2013-03-24,7,6,6,6
85,u01,2013-03-25,6,6,6,6
86,u01,2013-03-26,6,7,16,6
87,u01,2013-03-27,12,22,20,14
88,u01,2013-03-28,9,9,9,9
89,u01,2013-03-29,10,12,12,10
90,u01,2013-03-30,12,13,14,13
91,u01,2013-03-31,13,13,13,13
92,u01,2013-04-01,13,13,13,13
93,u01,2013-04-02,3,4,4,15
94,u01,2013-04-03,5,6,6,4
95,u01,2013-04-04,6,6,6,6
96,u01,2013-04-05,6,8,8,6
97,u01,2013-04-06,8,8,8,8
98,u01,2013-04-07,8,8,8,8
99,u01,2013-04-08,11,11,12,8
100,u01,2013-04-09,11,11,11,18
101,u01,2013-04-10,11,11,11,11
102,u01,2013-04-11,12,12,14,12
103,u01,2013-04-12,2,5,5,16
104,u01,2013-04-13,5,5,5,5
105,u01,2013-04-14,5,5,5,5
106,u01,2013-04-15,5,6,9,5
107,u01,2013-04-16,6,6,8,13
108,u01,2013-04-17,11,14,12,20
109,u01,2013-04-18,12,12,13,12
110,u01,2013-04-19,13,13,13,13
111,u01,2013-04-20,13,13,14,13
112,u01,2013-04-21,2,2,2,2
113,u01,2013-04-22,5,5,5,5
114,u01,2013-04-23,9,9,12,11
115,u01,2013-04-24,2,4,6,11
116,u01,2013-04-25,3,4,12,8
117,u01,2013-04-26,12,14,6,12
118,u01,2013-04-27,7,7,7,7
119,u01,2013-04-28,7,7,6,7
120,u01,2013-04-29,7,7,7,9
121,u01,2013-04-30,8,9,13,8
122,u01,2013-05-01,6,6,6,6
123,u01,2013-05-02,7,7,7,7
124,u01,2013-05-03,7,7,8,7
125,u01,2013-05-04,8,9,0,8
126,u01,2013-05-07,0,0,6,0
127,u01,2013-05-08,6,7,3,6
128,u01,2013-05-09,3,4,7,3
129,u01,2013-05-10,6,7,7,6
130,u01,2013-05-11,7,7,7,7
131,u01,2013-05-12,0,2,2,7
