,Unnamed: 0,uid,date,app usage in morning,app usage in afternoon,app usage in evening,app usage in night,number of call in morning,number of call in afternoon,number of call in evening,number of call in night,number of Bluetooth contacts morning,number of Bluetooth contacts afternoon,number of Bluetooth contacts evening,number of Bluetooth contacts night,conversation in morning,conversation in afternoon,conversation in evening,conversation in night
0,3,u00,2013-03-27,14,20,18,15,1,3,3,1,0,8,6,0,11.011111111111111,27.538095238095234,15.351666666666665,3.533333333333333
1,4,u00,2013-03-28,17,33,20,17,1,2,4,1,0,3,7,0,22.166666666666668,18.87222222222222,19.048148148148147,8.306666666666668
2,5,u00,2013-03-29,14,23,16,10,1,2,2,1,0,10,7,2,5.570833333333333,36.525,16.258333333333333,7.686904761904762
3,6,u00,2013-03-30,14,2,5,17,1,1,2,1,0,1,2,1,0.0,10.241666666666667,31.105555555555558,7.112500000000001
4,8,u00,2013-04-01,11,18,18,10,1,1,3,1,1,8,11,0,12.502777777777778,41.9,18.316666666666666,3.4699999999999998
5,9,u00,2013-04-02,15,5,17,15,1,1,1,1,0,8,1,0,6.39,23.704166666666666,5.907894736842105,11.833333333333334
6,10,u00,2013-04-03,15,22,20,22,1,2,2,1,0,10,7,0,11.235714285714284,24.79259259259259,17.459722222222222,3.09
7,11,u00,2013-04-04,17,31,14,17,1,1,3,1,0,12,0,0,9.394444444444444,16.483333333333334,8.4,1.3333333333333333
8,15,u00,2013-04-08,8,24,20,8,1,3,3,1,0,8,7,0,3.5233333333333334,23.589393939393936,16.888095238095236,5.738095238095238
9,16,u00,2013-04-09,19,27,29,19,1,2,3,1,0,4,6,0,1.85,19.597222222222225,11.27692307692308,19.073333333333334
10,17,u00,2013-04-10,25,33,34,30,1,3,2,1,0,10,2,0,10.372222222222222,30.304166666666667,5.513888888888888,3.0590909090909095
11,18,u00,2013-04-11,33,40,40,31,2,1,3,1,1,10,6,0,12.516666666666667,17.314814814814813,15.80888888888889,1.4708333333333332
12,19,u00,2013-04-12,38,49,33,45,1,1,6,1,0,5,8,0,3.75,26.116666666666667,17.152083333333334,3.952777777777778
13,22,u00,2013-04-15,18,26,23,13,1,4,3,2,0,7,8,0,10.127777777777778,33.95625,10.090625,4.54
14,23,u00,2013-04-16,21,28,25,21,2,1,4,1,0,9,3,0,9.091666666666665,11.342424242424244,36.07333333333334,3.79
15,24,u00,2013-04-17,14,16,26,8,1,3,4,1,0,13,7,0,17.3875,20.003030303030304,17.097222222222225,23.191666666666666
16,25,u00,2013-04-18,10,20,15,9,1,2,2,1,0,6,4,0,0.0,10.674999999999999,23.34666666666667,0.0
17,26,u00,2013-04-19,17,42,25,23,1,2,2,1,0,9,1,0,9.194444444444445,27.18333333333333,17.606944444444444,6.453333333333335
18,27,u00,2013-04-20,2,7,18,13,1,1,2,1,0,1,4,0,0.0,42.38,18.544117647058826,18.833333333333332
19,29,u00,2013-04-22,23,32,28,21,1,2,3,1,0,11,5,0,0.0,7.788888888888889,12.880555555555555,5.166666666666666
